"","Address","Type","Color","ExtendedType"
"93","16637360","NEGATIVE","RED","Negative 1151"
"94","16703473","NEGATIVE","RED","Negative 1192"
"95","16764335","NEGATIVE","Maroon","Negative 425"
"96","16802409","NEGATIVE","RED","Negative 1194"
"97","17606370","NEGATIVE","Gray","Negative 152"
"98","17697426","NEGATIVE","Teal","Negative 46"
"99","17728375","NEGATIVE","Orchid","Negative 58"
"100","17791300","NEGATIVE","RED","Negative 1062"
"101","17799458","NEGATIVE","Plum","Negative 576"
"102","18622304","NEGATIVE","RED","Negative 872"
"103","18622361","NEGATIVE","RED","Negative 1275"
"104","18641472","NEGATIVE","RED","Negative 1337"
"105","18684312","NEGATIVE","Pink","Negative 330"
"106","18717404","NEGATIVE","Red","Negative 61"
"107","18727400","NEGATIVE","BlueViolet","Negative 232"
"108","19642457","NEGATIVE","Cyan","Negative 228"
"109","19659360","NEGATIVE","Silver","Negative 423"
"110","19667322","NEGATIVE","Navy","Negative 50"
"111","19746379","NEGATIVE","Yellow","Negative 74"
"112","19769414","NEGATIVE","Silver","Negative 333"
"113","20666345","NEGATIVE","Magenta","Negative 566"
"114","20791303","NEGATIVE","Navy","Negative 170"
"115","21603442","NEGATIVE","RED","Negative 1164"
"116","21635460","NEGATIVE","Orange","Negative 550"
"117","21643393","NEGATIVE","Orchid","Negative 478"
"118","21703446","NEGATIVE","Fuchsia","Negative 87"
"119","21704406","NEGATIVE","Gray","Negative 332"
"120","21705378","NEGATIVE","Khaki","Negative 462"
"121","21780347","NEGATIVE","Gray","Negative 182"
"122","21787367","NEGATIVE","Red","Negative 151"
"123","22601420","NEGATIVE","RED","Negative 1291"
"124","22609385","NEGATIVE","Fuchsia","Negative 207"
"125","22645364","NEGATIVE","RED","Negative 1213"
"126","22667496","NEGATIVE","BlueViolet","Negative 112"
"127","22674508","NEGATIVE","Violet","Negative 444"
"128","22688305","NEGATIVE","Gold","Negative 461"
"129","22694431","NEGATIVE","Lavender","Negative 409"
"130","22705438","NEGATIVE","Gold","Negative 581"
"131","23624465","NEGATIVE","Tan","Negative 339"
"132","23631316","NEGATIVE","Violet","Negative 564"
"133","23649302","NEGATIVE","RED","Negative 1198"
"134","23713493","NEGATIVE","Lavender","Negative 379"
"135","23716350","NEGATIVE","Plum","Negative 186"
"136","23719447","NEGATIVE","Gold","Negative 101"
"137","23740309","NEGATIVE","Magenta","Negative 596"
"138","23760472","NEGATIVE","Khaki","Negative 432"
"139","24683315","NEGATIVE","RED","Negative 1262"
"140","24684310","NEGATIVE","Lavender","Negative 469"
"141","24685437","NEGATIVE","Cyan","Negative 408"
"142","24809342","NEGATIVE","Orange","Negative 580"
"143","25621346","NEGATIVE","Pink","Negative 540"
"144","25742329","NEGATIVE","Coral","Negative 367"
"145","25758414","NEGATIVE","RED","Negative 1176"
"146","26648509","NEGATIVE","Lavender","Negative 559"
"147","26665427","NEGATIVE","Maroon","Negative 575"
"148","26669386","NEGATIVE","Fuchsia","Negative 567"
"149","26722464","NEGATIVE","RED","Negative 1193"
"150","26728479","NEGATIVE","RED","Negative 1076"
"151","26769463","NEGATIVE","Teal","Negative 556"
"152","26770499","NEGATIVE","Lime","Negative 585"
"153","27642486","NEGATIVE","Khaki","Negative 162"
"154","27668419","NEGATIVE","Purple","Negative 475"
"155","27672396","NEGATIVE","RED","Negative 1118"
"156","27691388","NEGATIVE","Coral","Negative 487"
"157","27722502","NEGATIVE","Aqua","Negative 77"
"158","28631434","NEGATIVE","Teal","Negative 286"
"159","28715352","NEGATIVE","Brown","Negative 4"
"160","28717328","NEGATIVE","Navy","Negative 410"
"161","28738335","NEGATIVE","RED","Negative 1203"
"162","28772416","NEGATIVE","Lavender","Negative 499"
"163","28800399","NEGATIVE","Magenta","Negative 356"
"164","28808427","NEGATIVE","RED","Negative 1168"
"165","29617416","NEGATIVE","Lime","Negative 465"
"166","29655354","NEGATIVE","Lime","Negative 375"
"167","29746457","NEGATIVE","Maroon","Negative 275"
"168","29784508","NEGATIVE","RED","Negative 1083"
"169","29790482","NEGATIVE","Magenta","Negative 416"
"170","30675376","NEGATIVE","Tan","Negative 459"
"171","30748463","NEGATIVE","Purple","Negative 85"
"172","30754380","NEGATIVE","BlueViolet","Negative 352"
"173","30762347","NEGATIVE","Cyan","Negative 528"
"174","30808510","NEGATIVE","RED","Negative 1169"
"175","30809470","NEGATIVE","Lime","Negative 165"
"176","31635492","NEGATIVE","Olive","Negative 493"
"177","31659478","NEGATIVE","RED","Negative 1244"
"178","31665352","NEGATIVE","Maroon","Negative 335"
"179","31709433","NEGATIVE","Purple","Negative 385"
"180","31741496","NEGATIVE","RED","Negative 1219"
"181","31766306","NEGATIVE","Coral","Negative 67"
"182","32668325","NEGATIVE","RED","Negative 1189"
"183","32769401","NEGATIVE","Crimson","Negative 119"
"184","32772339","NEGATIVE","RED","Negative 1136"
"185","33619380","NEGATIVE","RED","Negative 1245"
"186","33621423","NEGATIVE","Blue","Negative 381"
"187","33653420","NEGATIVE","RED","Negative 1332"
"188","33674422","NEGATIVE","RED","Negative 1270"
"189","33677481","NEGATIVE","-99","Negative 601"
"190","33714465","NEGATIVE","Sienna","Negative 368"
"191","33730459","NEGATIVE","Plum","Negative 6"
"192","33765459","NEGATIVE","Lime","Negative 555"
"193","34602505","NEGATIVE","Blue","Negative 351"
"194","34624334","NEGATIVE","Coral","Negative 277"
"195","34646469","NEGATIVE","Teal","Negative 376"
"196","34661497","NEGATIVE","Yellow","Negative 344"
"197","34681355","NEGATIVE","Crimson","Negative 29"
"198","34772371","NEGATIVE","Silver","Negative 3"
"199","34779461","NEGATIVE","Aqua","Negative 527"
"200","35678453","NEGATIVE","Orange","Negative 10"
"201","35714458","NEGATIVE","Coral","Negative 517"
"202","36628412","NEGATIVE","Coral","Negative 37"
"203","36642338","NEGATIVE","Magenta","Negative 446"
"204","36647382","NEGATIVE","Lavender","Negative 49"
"205","36665378","NEGATIVE","RED","Negative 1199"
